,Race,Average Ratio of Bullying(in %)
0,American Indian/Alaska Native,25.613459
1,Asian,14.586519284097426
2,Asian/Pacific Islander,14.914940162921182
3,Black,25.743484244942263
4,Hispanic,20.91098789690583
5,Two or more races,29.074241045994988
6,White,27.23330018119838
